words,ngram songs,char songs,billboard songs
397,16,418,28
398,24,462,32
399,19,523,28
400,20,588,24
401,17,624,37
402,12,642,23
403,16,714,30
404,13,744,24
405,19,770,23
406,20,760,23
407,27,760,21
408,20,735,20
409,21,702,23
410,15,748,20
411,19,698,17
412,24,657,25
413,20,580,13
414,14,482,27
415,18,433,23
416,13,395,16
417,19,299,23
418,18,298,31
419,14,212,22
420,17,180,23
421,24,179,20
422,17,130,31
423,14,88,20
424,21,80,16
425,15,58,26
426,18,35,19
427,12,34,19
428,13,19,37
429,19,25,14
430,17,21,23
431,25,8,24
432,16,5,23
433,18,6,24
434,14,3,17
435,17,2,14
436,15,2,18
437,15,1,20
438,21,7,21
439,24,2,27
440,13,1,18
441,16,1,22
442,22,1,20
443,19,0,17
444,25,0,17
445,13,0,23
446,12,0,18
447,16,0,20
448,17,2,14
449,22,0,15
450,18,0,16
451,19,0,12
452,19,0,18
453,19,0,15
454,15,0,20
455,19,0,13
456,21,0,19
457,10,0,25
458,14,0,19
459,12,0,18
460,12,0,13
461,12,1,19
462,16,0,16
463,14,0,14
464,10,0,11
465,18,0,17
466,18,2,21
467,18,1,22
468,12,0,10
469,10,0,23
470,18,0,20
471,13,0,22
472,9,1,14
473,14,0,18
474,10,0,19
475,12,0,16
476,10,0,15
477,11,0,14
478,14,0,12
479,16,0,22
480,15,1,13
481,6,0,24
482,9,0,12
483,15,0,14
484,13,0,15
485,17,0,13
486,15,0,21
487,16,0,14
488,12,0,17
489,14,0,21
490,14,0,7
491,17,0,9
492,15,0,14
493,20,0,13
494,20,1,11
495,15,0,12
496,17,0,12
497,15,0,21
498,13,0,12
499,12,0,16
500,22,0,17
501,19,0,20
502,9,0,18
503,13,0,16
504,17,0,15
505,10,0,12
506,14,0,13
507,12,0,8
508,15,0,11
509,13,0,18
510,16,0,11
511,15,0,10
512,16,0,10
513,13,0,15
514,11,0,12
515,12,0,18
516,12,0,20
517,12,0,18
518,19,0,9
519,12,0,17
520,18,0,20
521,14,0,11
522,14,0,13
523,20,0,7
524,13,0,15
525,14,0,15
526,13,0,10
527,15,0,11
528,9,0,15
529,18,0,13
530,17,0,13
531,6,0,15
532,16,0,12
533,13,0,15
534,7,0,17
535,12,0,12
536,7,0,8
537,15,0,8
538,16,0,7
539,14,0,16
540,10,0,14
541,8,0,16
542,18,0,14
543,8,0,6
544,12,0,10
545,16,0,13
546,19,0,11
547,9,0,11
548,10,0,12
549,16,0,14
550,7,0,16
551,14,0,17
552,11,0,12
553,16,0,10
554,15,0,9
555,17,0,8
556,7,0,11
557,14,0,8
558,10,0,15
559,11,0,8
560,15,0,9
561,13,0,11
562,15,0,14
563,12,0,10
564,12,0,13
565,13,0,9
566,11,0,8
567,11,0,7
568,14,0,8
569,7,0,6
570,8,0,12
571,12,0,14
572,12,0,17
573,9,0,13
574,10,0,8
575,11,1,7
576,9,0,12
577,18,0,8
578,9,0,9
579,6,0,7
580,11,0,15
581,13,0,5
582,19,0,11
583,16,0,11
584,13,0,10
585,13,0,12
586,21,0,10
587,16,0,11
588,29,0,15
589,28,0,8
590,31,0,8
591,47,0,20
592,69,0,12
593,90,0,15
594,122,0,17
595,130,0,8
596,150,0,10
597,156,0,13
598,185,0,5
599,186,0,16
600,203,0,10
601,242,0,12
602,252,0,11
603,232,0,9
604,211,0,7
605,193,0,10
606,223,0,7
607,198,0,7
608,176,0,11
609,151,0,5
610,133,0,11
611,98,0,4
612,67,0,10
613,66,0,9
614,55,0,9
615,37,0,7
616,27,0,11
617,18,0,21
618,8,0,10
619,8,0,8
620,5,0,9
621,1,0,10
622,2,0,8
623,0,0,6
624,0,0,9
625,0,0,7
626,1,0,5
627,0,0,9
628,0,0,15
629,0,0,8
630,0,0,5
631,0,0,9
632,0,0,7
633,0,0,12
634,0,0,9
635,0,0,6
636,0,0,11
637,0,0,15
638,0,0,6
639,0,0,11
640,0,0,13
641,0,0,8
642,0,0,10
643,0,0,7
644,0,0,10
645,0,0,15
646,0,0,7
647,0,0,5
648,0,0,12
649,0,0,9
650,0,0,6
651,0,0,11
652,0,0,13
653,0,0,5
654,0,0,5
655,0,0,9
656,0,0,12
657,0,0,5
658,0,0,10
659,0,0,7
660,0,0,5
661,0,0,9
662,0,0,12
663,0,0,13
664,0,0,8
665,0,0,3
666,0,0,10
667,0,0,9
668,0,0,7
669,0,0,10
670,0,0,5
671,0,0,12
672,0,0,7
673,0,0,6
674,0,0,5
675,0,0,10
676,0,0,10
677,0,0,10
678,0,0,11
679,0,0,4
680,0,0,6
681,0,0,11
682,0,0,10
683,0,0,5
684,0,0,7
685,0,0,4
686,0,0,6
687,0,0,9
688,0,0,3
689,0,0,11
690,0,0,12
691,0,0,10
692,0,0,11
693,0,0,4
694,0,0,8
695,0,0,11
696,0,0,4
697,0,0,12
698,0,0,7
699,0,0,10
700,0,0,7
701,0,0,6
702,0,0,3
703,0,0,7
704,0,0,8
705,0,0,7
706,0,0,12
707,0,0,9
708,0,0,9
709,0,0,12
710,0,0,4
711,0,0,7
712,0,0,4
713,0,0,3
714,0,0,5
715,0,0,9
716,0,0,6
717,0,0,9
718,0,0,9
719,0,0,4
720,0,0,3
721,0,0,11
722,0,0,6
723,0,0,5
724,0,0,10
725,0,0,5
726,0,0,5
727,0,0,7
728,0,0,1
729,0,0,3
730,0,0,5
731,0,0,2
732,0,0,3
733,0,0,4
734,0,0,7
735,0,0,5
736,0,0,3
737,0,0,5
738,0,0,7
739,0,0,6
740,0,0,11
741,0,0,4
742,0,0,3
743,0,0,6
744,0,0,4
745,0,0,8
746,0,0,10
747,0,0,5
748,0,0,2
749,0,0,2
750,0,0,3
751,0,0,3
752,0,0,9
753,0,0,5
754,0,0,6
755,0,0,6
756,0,0,8
757,0,0,4
758,0,0,7
759,0,0,6
760,0,0,5
761,0,0,5
762,0,0,9
763,0,0,2
764,0,0,4
765,0,0,3
766,0,0,3
767,0,0,4
768,0,0,3
769,0,0,10
770,0,0,4
771,0,0,3
772,0,0,10
773,0,0,6
774,0,0,5
775,0,0,3
776,0,0,5
777,0,0,5
778,0,0,3
779,0,0,0
780,0,0,5
781,0,0,8
782,0,0,3
783,0,0,0
784,0,0,5
785,0,0,5
786,0,0,2
787,0,0,4
788,0,0,5
789,0,0,3
790,0,0,4
791,0,0,1
792,0,0,4
793,0,0,7
794,0,0,3
795,0,0,5
796,0,0,1
797,0,0,1
798,0,0,4
799,0,0,3
800,0,0,1
801,0,0,4
802,0,0,6
803,0,0,3
804,0,0,7
805,0,0,3
806,0,0,3
807,0,0,5
808,0,0,4
809,0,0,4
810,0,0,4
811,0,0,0
812,0,0,4
813,0,0,5
814,0,0,6
815,0,0,10
816,0,0,6
817,0,0,3
818,0,0,5
819,0,0,1
820,0,0,3
821,0,0,2
822,0,0,6
823,0,0,4
824,0,0,0
825,0,0,1
826,0,0,2
827,0,0,3
828,0,0,2
829,0,0,3
830,0,0,5
831,0,0,5
832,0,0,3
833,0,0,1
834,0,0,3
835,0,0,5
836,0,0,1
837,0,0,2
838,0,0,1
839,0,0,2
840,0,0,1
841,0,0,4
842,0,0,2
843,0,0,1
844,0,0,5
845,0,0,4
846,0,0,3
847,0,0,6
848,0,0,3
849,0,0,6
850,0,0,5
851,0,0,5
852,0,0,3
853,0,0,1
854,0,0,2
855,0,0,3
856,0,0,0
857,0,0,4
858,0,0,2
859,0,0,0
860,0,0,1
861,0,0,2
862,0,0,1
863,0,0,6
864,0,0,2
865,0,0,3
866,0,0,4
867,0,0,4
868,0,0,3
869,0,0,1
870,0,0,2
871,0,0,8
872,0,0,0
873,0,0,0
874,0,0,0
875,0,0,3
876,0,0,1
877,0,0,0
878,0,0,2
879,0,0,1
880,0,0,3
881,0,0,1
882,0,0,0
883,0,0,0
884,0,0,1
885,0,0,2
886,0,0,0
887,0,0,1
888,0,0,1
889,0,0,4
890,0,0,0
891,0,0,1
892,0,0,0
893,0,0,1
894,0,0,3
895,0,0,1
896,0,0,0
897,0,0,3
898,0,0,5
899,0,0,0
900,0,0,1
